id;department_id;department_name;is_active
1;20931;COMPUTERSCIENCEENGINEERING;true
2;43825;ELECTRONICSANDELECTRICALENGINEERING;true
3;70188;ELECTRONICSANDELECTRICALENGINEERING;true
4;86345;ELECTRONICSANDCOMMUNICATIONALENGINEERING;false
5;38055;ELECTRONICSANDELECTRICALENGINEERING;true
6;35538;ELECTRONICSANDCOMMUNICATIONALENGINEERING;false
7;32713;ELECTRONICSANDCOMMUNICATIONALENGINEERING;true
8;24710;ELECTRONICSANDCOMMUNICATIONALENGINEERING;true
9;26778;ELECTRONICSANDCOMMUNICATIONALENGINEERING;false
10;66819;MANAGEMENTSCINENCE;false
